suicides,age,period,cohort,sex,country
22,10,1990,1980,male,Argentina
14,10,1990,1980,female,Argentina
184,75,1991,1916,male,Argentina
449,64,1991,1927,male,Argentina
398,44,1991,1947,male,Argentina
214,30,1991,1961,male,Argentina
50,75,1991,1916,female,Argentina
169,64,1991,1927,female,Argentina
179,20,1991,1971,male,Argentina
133,44,1991,1947,female,Argentina
77,30,1991,1961,female,Argentina
61,20,1991,1971,female,Argentina
28,10,1991,1981,male,Argentina
9,10,1991,1981,female,Argentina
194,75,1992,1917,male,Argentina
500,64,1992,1928,male,Argentina
488,44,1992,1948,male,Argentina
227,30,1992,1962,male,Argentina
249,20,1992,1972,male,Argentina
46,75,1992,1917,female,Argentina
147,64,1992,1928,female,Argentina
140,44,1992,1948,female,Argentina
79,30,1992,1962,female,Argentina
79,20,1992,1972,female,Argentina
22,10,1992,1982,male,Argentina
13,10,1992,1982,female,Argentina
229,75,1993,1918,male,Argentina
520,64,1993,1929,male,Argentina
495,44,1993,1949,male,Argentina
233,30,1993,1963,male,Argentina
58,75,1993,1918,female,Argentina
235,20,1993,1973,male,Argentina
126,64,1993,1929,female,Argentina
144,44,1993,1949,female,Argentina
76,30,1993,1963,female,Argentina
73,20,1993,1973,female,Argentina
25,10,1993,1983,male,Argentina
16,10,1993,1983,female,Argentina
192,75,1994,1919,male,Argentina
509,64,1994,1930,male,Argentina
527,44,1994,1950,male,Argentina
226,30,1994,1964,male,Argentina
250,20,1994,1974,male,Argentina
135,64,1994,1930,female,Argentina
34,75,1994,1919,female,Argentina
160,44,1994,1950,female,Argentina
98,20,1994,1974,female,Argentina
72,30,1994,1964,female,Argentina
27,10,1994,1984,male,Argentina
11,10,1994,1984,female,Argentina
190,75,1995,1920,male,Argentina
515,64,1995,1931,male,Argentina
485,44,1995,1951,male,Argentina
218,30,1995,1965,male,Argentina
277,20,1995,1975,male,Argentina
49,75,1995,1920,female,Argentina
134,64,1995,1931,female,Argentina
139,44,1995,1951,female,Argentina
101,20,1995,1975,female,Argentina
